Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
4,16:59:10.000486,16:59:22.112958,1,-1.0
4,16:59:10.000486,16:59:22.345064,1,-1.0
4,16:59:10.000486,16:59:22.564095,1,-1.0
4,16:59:10.000486,16:59:22.804964,1,-1.0
4,16:59:10.000486,16:59:23.061373,1,-1.0
4,16:59:10.000486,16:59:23.403138,1,-1.0
4,16:59:10.000486,16:59:23.642932,1,-1.0
4,16:59:10.000486,16:59:23.954640,1,-1.0
4,16:59:10.000486,16:59:24.197521,1,-1.0
4,16:59:10.000486,16:59:24.531408,1,-1.0
4,16:59:10.000486,16:59:24.865156,1,-1.0
4,16:59:10.000486,16:59:25.093536,1,-1.0
4,16:59:10.000486,16:59:25.343775,1,-1.0
4,16:59:10.000486,16:59:25.780810,-1,-1.0
4,16:59:10.000486,16:59:26.091304,1,-1.0
4,16:59:10.000486,16:59:26.512772,-1,-1.0
4,16:59:10.000486,16:59:26.774990,1,-1.0
4,16:59:10.000486,16:59:27.009174,1,-1.0
4,16:59:10.000486,16:59:27.179266,1,-1.0
4,16:59:10.000486,16:59:27.328849,1,-1.0
4,16:59:10.000486,16:59:27.481073,1,-1.0
4,16:59:10.000486,16:59:27.681768,1,-1.0
4,16:59:10.000486,16:59:27.770243,1,-1.0
4,16:59:10.000486,16:59:27.964057,1,-1.0
4,16:59:10.000486,16:59:28.079496,1,-1.0
4,16:59:10.000486,16:59:28.222238,1,-1.0
4,16:59:10.000486,16:59:28.396173,1,-1.0
4,16:59:10.000486,16:59:28.549226,1,-1.0
4,16:59:10.000486,16:59:28.733748,1,-1.0
4,16:59:10.000486,16:59:28.904100,1,-1.0
4,16:59:10.000486,16:59:29.091424,1,-1.0
4,16:59:10.000486,16:59:29.271900,1,-1.0
4,16:59:10.000486,16:59:29.451812,1,-1.0
4,16:59:10.000486,16:59:29.622568,1,-1.0
4,16:59:10.000486,16:59:29.824431,1,-1.0
4,16:59:10.000486,16:59:29.998378,1,-1.0
4,16:59:10.000486,16:59:30.210321,1,-1.0
4,16:59:10.000486,16:59:30.381061,1,-1.0
4,16:59:10.000486,16:59:30.578268,1,-1.0
4,16:59:10.000486,16:59:30.790462,1,-1.0
4,16:59:10.000486,16:59:31.043785,1,-1.0
4,16:59:10.000486,16:59:31.284855,1,-1.0
4,16:59:10.000486,16:59:31.531034,1,-1.0
4,16:59:10.000486,16:59:31.798319,1,-1.0
4,16:59:10.000486,16:59:32.031845,1,-1.0
4,16:59:10.000486,16:59:32.251108,1,-1.0
4,16:59:10.000486,16:59:32.523238,1,-1.0
4,16:59:10.000486,16:59:32.723957,1,-1.0
4,16:59:10.000486,16:59:32.923979,1,-1.0
4,16:59:10.000486,16:59:33.134711,1,-1.0
4,16:59:10.000486,16:59:33.357292,1,-1.0
4,16:59:10.000486,16:59:33.612570,1,-1.0
4,16:59:10.000486,16:59:33.824562,1,-1.0
4,16:59:10.000486,16:59:34.030378,1,-1.0
4,16:59:10.000486,16:59:34.249666,1,-1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
5,16:59:34.253140,16:59:35.191896,-1,-1.0
5,16:59:34.253140,16:59:35.467142,1,-1.0
5,16:59:34.253140,16:59:35.653910,1,-1.0
5,16:59:34.253140,16:59:35.809894,1,-1.0
5,16:59:34.253140,16:59:35.940524,1,-1.0
5,16:59:34.253140,16:59:36.203846,1,-1.0
5,16:59:34.253140,16:59:36.392151,1,-1.0
5,16:59:34.253140,16:59:36.568396,1,-1.0
5,16:59:34.253140,16:59:36.748671,1,-1.0
5,16:59:34.253140,16:59:36.921455,1,-1.0
5,16:59:34.253140,16:59:37.097619,1,-1.0
5,16:59:34.253140,16:59:37.352883,1,-1.0
5,16:59:34.253140,16:59:37.523958,1,-1.0
5,16:59:34.253140,16:59:37.774159,1,-1.0
5,16:59:34.253140,16:59:37.963853,1,-1.0
5,16:59:34.253140,16:59:38.111406,1,-1.0
5,16:59:34.253140,16:59:38.283661,1,-1.0
5,16:59:34.253140,16:59:38.439720,1,-1.0
5,16:59:34.253140,16:59:38.601331,1,-1.0
5,16:59:34.253140,16:59:38.757301,1,-1.0
5,16:59:34.253140,16:59:38.910039,1,-1.0
5,16:59:34.253140,16:59:39.050529,1,-1.0
5,16:59:34.253140,16:59:39.205429,1,-1.0
5,16:59:34.253140,16:59:39.377362,1,-1.0
5,16:59:34.253140,16:59:39.535329,1,-1.0
5,16:59:34.253140,16:59:39.686581,1,-1.0
5,16:59:34.253140,16:59:39.848346,1,-1.0
5,16:59:34.253140,16:59:40.006887,1,-1.0
5,16:59:34.253140,16:59:40.155530,1,-1.0
5,16:59:34.253140,16:59:40.318222,1,-1.0
5,16:59:34.253140,16:59:40.442433,1,-1.0
5,16:59:34.253140,16:59:40.615486,1,-1.0
5,16:59:34.253140,16:59:40.771168,1,-1.0
5,16:59:34.253140,16:59:40.927900,1,-1.0
